,name,host_name,host_location,host_response_time,host_is_superhost,host_listings_count,host_identity_verified,latitude,property_type,accommodates,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_60,availability_365,number_of_reviews_ltm,last_review,review_scores_cleanliness,review_scores_location,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
2800,HONORÊ - SUITE 3 MARIES (4 PERS),Carine & Daniel,"Lentilly, France",within an hour,f,23.0,t,45.76333,Entire rental unit,4,1.0,117.0,1125,3,1125,1125.0,25,200,9,2024-12-01,4.6,4.9,t,20,0
2801,Chambre en colocation au coeur des pentes !,Samuel,"Lyon, France",,f,1.0,t,45.77273,Private room in rental unit,1,,,20,15,20,20.0,0,0,0,2022-02-15,4.0,5.0,f,0,0
2802,Appartement proche Jet d'eau,Romain,"Lyon, France",,f,1.0,f,45.74188,Entire rental unit,2,,,1125,365,1125,1125.0,0,0,0,,,,t,1,0
2803,"Beau T2 Hotel de Ville, idéal Fête des Lumières",Jeanne,"Clermont-Ferrand, France",,f,1.0,f,45.76589,Entire rental unit,2,1.0,,1125,365,1125,1125.0,0,0,0,2017-12-10,5.0,5.0,f,1,0
2804,Appartement fête des lumières,Solène,"Lyon, France",,f,1.0,f,45.74267,Entire rental unit,2,1.0,,1125,365,1125,1125.0,0,0,0,2017-12-10,4.0,5.0,f,1,0
2805,Grand studio de 40m2,Jérémie,"Lyon, France",,f,1.0,t,45.74954,Entire rental unit,2,,,1125,365,1125,1125.0,0,0,0,2017-12-24,4.0,4.5,t,1,0
2806,Appartement cosy Fête des Lumières,Margaux,"Lyon, France",,f,3.0,t,45.75436,Private room in rental unit,5,2.0,,1125,1,1125,1125.0,0,0,0,2017-12-10,5.0,4.0,f,0,0
2807,"Appartement 42m2 Lyon 2, quartier Confluence",Lauriane,"Lyon, France",,f,1.0,t,45.74297,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2808,"IDÉALEMENT placé, LYON CENTRE, Saxe Gambetta.",Xavier,"Lyon, France",,f,1.0,t,45.75241,Entire rental unit,4,1.0,,1125,365,1125,1125.0,59,179,0,2019-01-29,5.0,4.5,t,1,0
2809,Studio confortable au coeur de Lyon,Muriel,"Lyon, France",within a few hours,t,1.0,t,45.74892,Entire rental unit,2,1.0,,30,2,30,30.0,0,0,32,2024-10-20,4.92,4.87,f,1,0
2810,Chambre privée 2ème arrondissement Lyon,Nathan,"Annecy, France",,f,1.0,t,45.74371,Private room in rental unit,2,,,1125,2,1125,1125.0,0,0,0,,,,t,0,0
2811,Chambre dans appartement idéal fête des Lumières,Javier,"Puteaux, France",,f,1.0,t,45.76771,Private room in rental unit,2,,,4,1,4,4.0,0,0,0,,,,f,0,0
2812,Deux chambres doubles Lyon 3 métro Sans Soucis,Juliette,"Paris, France",,f,1.0,t,45.74909,Private room in rental unit,4,2.0,,1125,2,1125,1125.0,0,0,0,2017-12-10,5.0,4.0,t,0,0
2813,Chambre privée pour la fête des lumières,Audrey,"Lyon, France",,f,1.0,f,45.74436,Private room in rental unit,2,,,3,1,3,3.0,0,0,0,,,,f,0,0
2814,"Appartement,R-de-ch,av. jardin",Annie,"Villeurbanne, France",,f,1.0,t,45.7576292458814,Entire rental unit,3,2.0,65.0,7,5,7,7.0,44,74,0,,,,f,1,0
2815,Appartement avec charme au coeur de Lyon,Greg,,,f,1.0,f,45.75245,Entire rental unit,2,1.0,,1125,800,1125,1125.0,53,358,0,2018-01-05,4.8,5.0,f,1,0
2816,Welcome to the Charming Convent (XVIIIe) !,Julien,"Lyon, France",,f,1.0,t,45.75362,Private room in rental unit,2,,,5,1,5,5.0,0,0,0,,,,f,0,0
2817,Sur les berges du rhones,Pauline,"Lyon, France",,,2.0,t,45.77275,Entire rental unit,4,2.0,,1125,365,1125,1125.0,0,0,0,2018-02-19,5.0,5.0,f,1,0
2818,Superbe appartement au coeur du Vieux Lyon,Léna,"Besançon, France",,f,1.0,t,45.76026,Private room in rental unit,8,3.0,,1125,1,1125,1125.0,0,0,0,,,,t,0,0
2819,"Fête des lumières,  appartement chaleureux à louer",Florian,"Lyon, France",,f,1.0,t,45.77112,Entire rental unit,2,1.0,,4,1,4,4.0,0,0,0,2021-12-11,5.0,5.0,f,1,0
2820,Appartement avec terrasse Lyon 8 (10min Bellecour),Alison,,,f,1.0,t,45.73654,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,,,,t,1,0
2821,"Appartement 130 m², 6 à 9 personnes",Loïc,"Lyon, France",,f,1.0,t,45.76104,Entire rental unit,6,3.0,,1125,365,1125,1125.0,0,0,0,2018-06-20,4.2,4.6,t,1,0
2822,Charmant duplex avec garage à deux pas du métro,Romain,"Lyon, France",,f,1.0,t,45.74049,Entire rental unit,2,1.0,,1125,365,1125,1125.0,0,0,0,,,,t,1,0
2823,Chambre dans grand appartement! idéalement situé!,Camille,"Lyon, France",,f,1.0,t,45.75596,Private room in condo,2,,,5,1,5,5.0,0,0,0,,,,f,0,0
2824,Appart Canut typique - centre,Jonathan,"Lyon, France",,f,1.0,t,45.77235,Entire rental unit,2,,,1125,3,1125,1125.0,0,0,0,2019-12-08,4.5,4.67,f,1,0
2825,Large quiet apartment - Vieux Lyon - 4 travelers,Stéphane Et Emmanuelle,,,f,1.0,t,45.76577,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2019-07-08,4.68,4.94,f,1,0
2826,Chambre pour 2 personnes en plein centre de Lyon,Jean-Romans,"Lyon, France",,f,1.0,t,45.76082,Private room,2,,,4,2,4,4.0,0,0,0,2017-12-10,4.0,5.0,f,0,0
